Provider,Billing,objectstorage,blockstorage,vm,kaas,DBaaS,Bare-metal,SDN,Price,Business / Commercial,Green features,Sovreign cloud
Wasabi,⚙️,✅,,,,,,,,✅,❌,
Google,⚙️,,✅,✅,✅,✅,,,,✅,,☘️,
Azure,⚙️,✅,✅,✅,✅,,,,✅,✅,,☘️,
Impossiblecloud,⚙️,✅,,,,,,,,✅,,
UpCloud,⚙️,✅,✅,✅,✅,,,,,✅,✅,☘️,
Oracle,⚙️,,✅,✅,,,,,,✅,,🇪🇺
IONOS,,,,🧑‍⚖️,🧑‍⚖️,,,✅,✅,,,
Gigas,,,🧑‍⚖️,🧑‍⚖️,,,,⚙️,✅,,,
Aruba,,,,🧑‍⚖️,🧑‍⚖️,,,✅,✅,,☘️,
OVH,,,,✅,✅,,✅,✅,❌,,☘️,🇪🇺
Clastix,,,,,,,,,,✅,,
Cubbit,,,,,,,,,,✅,,🇪🇺
Linode,,,,,,,,,✅,,,
Hetzner,,,,,,,✅,,✅,,☘️,
Scaleway,⚙️,⚙️,⚙️,⚙️,⚙️,,✅,⚙️,✅,✅,☘️,
AWS,⚙️,⚙️,⚙️,⚙️,⚙️,⚙️,✅,⚙️,✅,✅,☘️,🇪🇺
Alibabacloud,,,,,,,,,✅,,,
Catalystcloud,,,,,,,,,✅,,☘️,
Cloudferro,,,,,,,,,✅,,,
Hidora,,,,,,,,,✅,,☘️,
Hexoscale,,,,,,,,,✅,,,
Gridscale,,,,,,,,,✅,,,
Leafcloud,,,,,,,,,✅,,☘️,
Bluvault,,,,,,,,,✅,,,
Hostinger,,,,,,,,,✅,,,
Leaseweb,,,,,,,✅,,,,,
IBM,,,,,,,✅,,,✅,,
